id,parent,name,class,status,type,description
REQ-F-EMR-002,F-EMR,Diagnoosien kirjaaminen ICD-koodistolla,Requirement,In design,Functional,"<h3>Diagnoosien kirjaaminen ICD-koodistolla</h3><p>Tämä vaatimus määrittelee, mitä f-emr toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Käyttäjä voi lisätä yhden tai useamman diagnoosin ICD-10 koodilla hakutoiminnolla.</li><li>Koodin valinta tuo automaattisesti selitteen; koodi validoidaan koodistosta.</li><li>Pääkoodi merkitään erikseen; vain yksi pääkoodi sallitaan per käynti.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-EMR-003,F-EMR,Toimenpiteiden kirjaaminen,Requirement,In design,Functional,"<h3>Toimenpiteiden kirjaaminen</h3><p>Tämä vaatimus määrittelee, mitä f-emr toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Toimenpiteet valitaan koodistosta ja liitetään käyntiin; määrät ja yksikkö kirjataan.</li><li>Toimenpiteen suorittaja ja huone kirjautuvat automaattisesti kontekstista.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-EMR-004,F-EMR,Liitteet ja kuvat,Requirement,In design,Functional,"<h3>Liitteet ja kuvat</h3><p>Tämä vaatimus määrittelee, mitä f-emr toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Käyttäjä voi liittää kuvia ja PDF-liitteitä; tiedostokoko rajataan konfiguroitavalla arvolla.</li><li>Esikatselu on saatavilla selaimessa; tiedostot tallentuvat levyjärjestelmään potilaskohtaisiin kansioihin.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-EMR-005,F-EMR,Versionhallinta ja korjaukset,Requirement,In design,Functional,"<h3>Versionhallinta ja korjaukset</h3><p>Tämä vaatimus määrittelee, mitä f-emr toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Kukin merkintä saa versionumeron; korjaus luo uuden version säilyttäen aiemman luettavana.</li><li>Korjaus edellyttää perustetta; näkyy auditlokeissa.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-EMR-006,F-EMR,Hakutoiminnot potilaskertomuksessa,Requirement,In design,Functional,"<h3>Hakutoiminnot potilaskertomuksessa</h3><p>Tämä vaatimus määrittelee, mitä f-emr toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Käyttäjä voi hakea merkintöjä ajanjakson, koodien ja vapaasanan perusteella.</li><li>Tulokset rajoittuvat potilaan tietoihin käyttöoikeuksien puitteissa.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-ORD-001,F-ORD,Lääkitysmääräys ja lääkelista,Requirement,In design,Functional,"<h3>Lääkitysmääräys ja lääkelista</h3><p>Tämä vaatimus määrittelee, mitä f-ord toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Lääkäri voi lisätä lääkitysmääräyksen valitsemalla valmisteen, annoksen, antotavan ja keston.</li><li>Järjestelmä ylläpitää potilaskohtaista lääkelistaa; uusinta luo uuden rivin versiohistorialla.</li><li>Yhteisvaikutusvaroitukset näytetään paikallisen tietokannan perusteella.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-ORD-002,F-ORD,Tutkimuspyynnöt,Requirement,In design,Functional,"<h3>Tutkimuspyynnöt</h3><p>Tämä vaatimus määrittelee, mitä f-ord toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Lääkäri voi tilata laboratoriotutkimuksia esikonfiguroiduista paketeista tai yksittäisinä.</li><li>Pyyntö sisältää näytteen tyypin, prioriteetin ja erityisohjeet potilaalle.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-ORD-003,F-ORD,Reseptin tulostus tai PDF,Requirement,In design,Functional,"<h3>Reseptin tulostus tai PDF</h3><p>Tämä vaatimus määrittelee, mitä f-ord toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Paikallisessa asennuksessa resepti tulostetaan tai generoidaan PDF:nä allekirjoitusta varten.</li><li>PDF sisältää viivakoodin ja yksilöivän tunnisteen jäljittämistä varten.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-ORD-004,F-ORD,Määräysten peruutus ja muutos,Requirement,In design,Functional,"<h3>Määräysten peruutus ja muutos</h3><p>Tämä vaatimus määrittelee, mitä f-ord toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Määräys voidaan peruuttaa perustellusti; muutos luo uuden version säilyttäen historiallisen tiedon.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-ORD-005,F-ORD,Hoitomääräykset hoitajille,Requirement,In design,Functional,"<h3>Hoitomääräykset hoitajille</h3><p>Tämä vaatimus määrittelee, mitä f-ord toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Lääkäri voi jättää hoitajalle tehtäväksiannon, jossa on selkeä kuvaus, kiireellisyys ja määräaika.</li><li>Tehtävä näkyy hoitajan työlistalla, kunnes se kuitataan valmiiksi.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-LAB-001,F-LAB,Näytteenoton kirjaus,Requirement,In design,Functional,"<h3>Näytteenoton kirjaus</h3><p>Tämä vaatimus määrittelee, mitä f-lab toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Hoitaja kuittaa näytteenoton ajankohdan ja näytenumeron, joka on yksilöllinen potilaskohtaisesti.</li><li>Järjestelmä estää tulosten syötön, jos näytenumero puuttuu tai on virheellinen.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
REQ-F-LAB-002,F-LAB,Tulosten syöttö,Requirement,In design,Functional,"<h3>Tulosten syöttö</h3><p>Tämä vaatimus määrittelee, mitä f-lab toteuttaa potilastietojärjestelmässä. Vaatimus on muotoiltu testattavasti, niin että toteutuksen valmistuttua voidaan objektiivisesti todentaa toiminnan vastaavuus. Järjestelmän tulee tarjota vain kulloinkin tarvittavat käyttöliittymäkomponentit käsillä olevaan tehtävään sekä tukea roolipohjaista näkyvyyttä lääkäreille, hoitajille ja ylläpidolle.</p><p><strong>Kuvaus:</strong> Alla on täsmennykset.</p><ul><li>Laboratoriotulokset voidaan syöttää manuaalisesti lomakkeella tai CSV-tuonnilla.</li><li>Jokaiselle analyytalle tallentuu arvo, yksikkö, viitearvot ja poikkeamalippu.</li></ul><p><strong>Hyväksymiskriteerit:</strong></p><ul><li>Kun käyttäjä suorittaa kuvattuja toimenpiteitä sallituilla syötteillä, järjestelmä tuottaa määritellyn lopputuloksen ilman virheilmoituksia.</li><li>Kun syötteet ovat virheellisiä tai puutteellisia, järjestelmä näyttää selkeän virheilmoituksen, ei tallenna keskeneräisiä tietoja ja ohjaa korjaamaan kentät.</li><li>Toimenpiteen suoritus kestää määritellyn enimmäisajan puitteissa paikallisella Windows-työasemalla, jossa on peruslaitteisto.</li><li>Lokimerkinnät syntyvät jokaisesta liiketoimintatapahtumasta sisältäen ajan, käyttäjän, potilaan tunnisteen ja toimenpiteen.</li></ul><p>Lisäksi toteutuksen tulee noudattaa yhtenäisiä nimikäytäntöjä, saavutettavuusohjeita (WCAG 2.2 AA soveltuvin osin) sekä esitystason ja liiketoimintalogiikan eriyttämistä. Kaikki tekstit ja virheilmoitukset esitetään suomen kielellä ja niille on valmius lokalisointiin. Käyttöliittymän tulee olla responsiivinen 1280×800 pikselistä ylöspäin. Tietorakenteiden kentät, sallitut arvot ja pakollisuudet dokumentoidaan skeemana ja versionoidaan. Toimintojen tulee olla idempotentteja siltä osin kuin se on mahdollista, jotta käyttäjän toistuva painallus ei aiheuta kaksoistallennuksia tai ristiriitoja. Kaikista ulkoisista integraatiokutsuista on oltava aikakatkaisu ja virheenhallinta, vaikka perusasennus toimisi ilman integraatioita.</p>"
